The tournament top starts on: 2021-4-7-1000
Lucadors,Mads Herlevsen,Martin Lorentzen
Postmændene,Per Jensen,Jens Persson
Datamans,Geoff Nielsen,Mark Topson
FlowerPower,Sofie Jacobsen,Brit Brittsen
TheBots,Siri Apple,Alexa Amazon
TheNerds,Sheldon Copper,Leonard Hofstadter
DesperateHousewives,Eva Longoria,Felicity Huffman
PirateClan,Long John Silver,Bluebeard
Avengers,Tony Stark,Steve Rogers
Heroes,Clark Kent,Diana Prince
TheNoobs,Dupreeh,Gla1ve
WalkingDead,Daryl Dixon,Rick Grimes
BFF,Helge Jørgen,Ib Sørensen
MVP,Torben Torbensen,Erika Eriksen
Hustlers,Julie Jørgensen,Kristina Christensen
Bulletproof,Mikkel Mikkelsen,Paula Oluffsson
